"lang"
{
    "Language"      "Russian"
        "DOTA_Tooltip_ability_crystal_maiden_freezing_field_arena_Note0"                  "В первую секунду заклинания замедляются все враги в области действия, даже если взрывы их не задели."
        "DOTA_Tooltip_ability_crystal_maiden_freezing_field_arena_Note1"                  "Взрыв происходит каждую 0,1 секунды; всего их 100."
        "DOTA_Tooltip_ability_crystal_maiden_freezing_field_arena_radius"                 "РАДИУС:"
        "DOTA_Tooltip_ability_crystal_maiden_freezing_field_arena_explosion_radius"       "РАДИУС ВЗРЫВА:"
        "DOTA_Tooltip_ability_crystal_maiden_freezing_field_arena_movespeed_slow"         "%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
        "DOTA_Tooltip_ability_crystal_maiden_freezing_field_arena_attack_slow"            "ЗАМЕДЛЕНИЕ АТАКИ:"
        "DOTA_Tooltip_ability_crystal_maiden_freezing_field_arena_slow_duration"          "ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
        "DOTA_Tooltip_ability_crystal_maiden_freezing_field_arena_damage"                 "УРОН:"
        "DOTA_Tooltip_ability_crystal_maiden_freezing_field_arena_damage_scepter"         "УРОН СО СКИПЕТРОМ:"
        "DOTA_Tooltip_ability_crystal_maiden_freezing_field_arena_movespeed_slow_scepter" "%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ СО СКИПЕТРОМ:"
        "DOTA_Tooltip_ability_crystal_maiden_freezing_field_arena_attack_slow_scepter"    "ЗАМЕДЛЕНИЕ АТАКИ СО СКИПЕТРОМ:"
        "DOTA_Tooltip_ability_crystal_maiden_freezing_field_arena_chance_to_frostbite_pct" "%ШАНС НА FROSTBITE:"

        "DOTA_Tooltip_ability_faceless_void_time_walk_arena"                              "Time Walk"
        "DOTA_Tooltip_ability_faceless_void_time_walk_arena_Description"                  "Совершает рывок к указанной точке и восстанавливает здоровье, потерянное за последние %backtrack_time% секунды. После использования шанс Backtrack повышается."
        "DOTA_Tooltip_ability_faceless_void_time_walk_arena_Note0"                        "Faceless Void is invulnerable while using Time Walk."
        "DOTA_Tooltip_ability_faceless_void_time_walk_arena_tooltip_range"                "ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
        "DOTA_Tooltip_ability_faceless_void_time_walk_arena_dodge_chance_time_walk_pct"   "%ДОП. ШАНС УКЛОНЕНИЯ:"
        "DOTA_Tooltip_ability_faceless_void_time_walk_arena_dodge_chance_time_walk_duration"        "ДЛИТЕЛЬНОСТЬ ДОП. ШАНСА:"

        "DOTA_Tooltip_ability_faceless_void_time_dilation_arena"                          "Time Dilation"
        "DOTA_Tooltip_ability_faceless_void_time_dilation_arena_Description"              "Faceless Void на %duration% секунд замедляет течение времени для всех врагов вокруг себя, при этом замораживая перезарядку их способностей и замедляя их передвижение и атаку на %move_speed_slow%%% и %attack_speed_slow% за каждую замороженную способность. Если способность не на перезарядке, то способность уйдёт в перезарядку, но юнит не будет замедлен за неё."
        "DOTA_Tooltip_ability_faceless_void_time_dilation_arena_duration"                 "ДЛИТЕЛЬНОСТЬ:"
        "DOTA_Tooltip_ability_faceless_void_time_dilation_arena_radius"                   "РАДИУС:"
        "DOTA_Tooltip_ability_faceless_void_time_dilation_arena_move_speed_slow"          "%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ ЗА СПОСОБНОСТЬ:"
        "DOTA_Tooltip_ability_faceless_void_time_dilation_arena_attack_speed_slow"        "ЗАМЕДЛЕНИЕ АТАКИ ЗА СПОСОБНОСТЬ:"

        "DOTA_Tooltip_ability_faceless_void_time_lock_arena"                              "Time Lock"
        "DOTA_Tooltip_ability_faceless_void_time_lock_arena_Description"                  "При атаке появляется шанс остановить время для вражеского юнита, оглушая его, нанося дополнительный урон и увеличивая время перезарядки случайной способности юнита."
        "DOTA_Tooltip_ability_faceless_void_time_lock_arena_Note0"                        "Оглушает врагов, невосприимчивых к заклинаниям."
        "DOTA_Tooltip_ability_faceless_void_time_lock_arena_duration"                     "ДЛИТЕЛЬНОСТЬ:"
        "DOTA_Tooltip_ability_faceless_void_time_lock_arena_duration_creep"               "ДЛИТЕЛЬНОСТЬ НА КРИПАХ:"
        "DOTA_Tooltip_ability_faceless_void_time_lock_arena_chance_pct"                   "%ШАНС:"
        "DOTA_Tooltip_ability_faceless_void_time_lock_arena_bonus_damage"                 "ДОПОЛНИТЕЛЬНЫЙ УРОН:"
        "DOTA_Tooltip_ability_faceless_void_time_lock_arena_bonus_cooldown"               "УВЕЛИЧЕНИЕ ПЕРЕЗАРЯДКИ:"
        
        "DOTA_Tooltip_ability_faceless_void_time_freeze"                                  "Time Freeze"
        "DOTA_Tooltip_ability_faceless_void_time_freeze_Description"                      "Создает прореху в пространстве и времени, заключая всех врагов на карте и юнитов рядом с ними в сферу, при этом сильно увеличивая скорость передвижения Faceless Void. Только Faceless Void и подконтрольные ему существа остаются нетронутыми ее силой. Раскрывает невидимость внутри сферы.\n\nУлучшается с Aghanim's Scepter."
        "DOTA_Tooltip_ability_faceless_void_time_freeze_aghanim_description"              "Основной эффект не накладывается на союзников (но они всё равно будут остановлены если попадут в сферу)."
        "DOTA_Tooltip_ability_faceless_void_time_freeze_duration"                         "ДЛИТЕЛЬНОСТЬ:"
        "DOTA_Tooltip_ability_faceless_void_time_freeze_radius_pfx"                       "РАДИУС ПОИСКА ЮНИТОВ:"

        "DOTA_Tooltip_ability_faceless_void_backtrack_arena"                              "Backtrack"
        "DOTA_Tooltip_ability_faceless_void_backtrack_arena_Description"                  "Faceless Void искажает время и пространство, чтобы уклониться от физических и магических атак."
        "DOTA_Tooltip_ability_faceless_void_backtrack_arena_dodge_chance_pct"             "%ШАНС УКЛОНЕНИЯ:"
        "DOTA_Tooltip_ability_faceless_void_backtrack_arena_Note0"                        "Способности, дающие эффект True Strike, не работают против этой способности."

        "DOTA_Tooltip_ability_rocket_barrage_arena"                                       "Rocket Barrage"
        "DOTA_Tooltip_ability_rocket_barrage_arena_Description"                           "Пока включена запускает ракеты залпом на ближайших вражеских юнитов вокруг Gyrocopter и тратит %mana_per_second% маны в секунду. Обычно одна ракета предназначена одному юниту, но если Gyrocopter находится под воздействием Flak Cannon, то ракеты запускаются во всех юнитов, находящихся рядом."
        "DOTA_Tooltip_ability_rocket_barrage_arena_radius"                                "РАДИУС:"
        "DOTA_Tooltip_ability_rocket_barrage_arena_mana_per_second"                       "МАНЫ В СЕКУНДУ:"
        "DOTA_Tooltip_ability_rocket_barrage_arena_rockets_per_second"                    "РАКЕТ В СЕКУНДУ:"

        "DOTA_Tooltip_ability_homing_missile_arena"                                       "Homing Missile"
        "DOTA_Tooltip_ability_homing_missile_arena_Description"                           "Запускает самонаводящуюся ракету в цель. Во время полета ракета набирает скорость, а при столкновении с врагом наносит урон и оглушает всех противников рядом с ним. Урон, наносимый ракетой, зависит от дальности ее полета. Пока ракета не достигла своей цели, враги могут ее уничтожить."
        "DOTA_Tooltip_ability_homing_missile_arena_Note0"                                 "Ракета работает и на невидимых целях."
        "DOTA_Tooltip_ability_homing_missile_arena_hits_to_kill_tooltip"                  "УДАРОВ ДЛЯ УНИЧТОЖЕНИЯ:"
        "DOTA_Tooltip_ability_homing_missile_arena_tower_hits_to_kill_tooltip"            "УДАРОВ БАШНИ ДЛЯ УНИЧТОЖЕНИЯ:"
        "DOTA_Tooltip_ability_homing_missile_arena_stun_duration"                         "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
        "DOTA_Tooltip_ability_homing_missile_arena_min_damage"                            "МИНИМАЛЬНЫЙ УРОН:"

        "DOTA_Tooltip_ability_flak_cannon_arena"                                          "Flak Cannon"
        "DOTA_Tooltip_ability_flak_cannon_arena_Description"                              "Атаки Gyrocopter наносят урон всем вражеским юнитам вокруг него и наносят дополнительный магический урон в течение ограниченного количества атак. Только главная цель атак получит бонусы атаки, такие как критический удар и дополнительный магический урон.\n\nУлучшается с Aghanim's Scepter."
        "DOTA_Tooltip_ability_flak_cannon_arena_Note0"                                    "Иллюзии будут создавать эффекты атаки, но не будут наносить урон."
        "DOTA_Tooltip_ability_flak_cannon_arena_radius"                                   "РАДИУС:"
        "DOTA_Tooltip_ability_flak_cannon_arena_max_attacks"                              "МАКС. АТАК:"
        "DOTA_Tooltip_ability_flak_cannon_arena_postattack_magic_damage"                  "ДОП. МАГИЧЕСКИЙ УРОН:"
        "DOTA_Tooltip_ability_flak_cannon_arena_fire_rate_scepter"                        "СКОРОСТЬ АТАКИ СО СКИПЕТРОМ:"
        "DOTA_Tooltip_ability_flak_cannon_arena_scepter_radius_scepter"                   "РАДИУС АТАКИ СО СКИПЕТРОМ:"
        "DOTA_Tooltip_ability_flak_cannon_arena_aghanim_description"                      "Каждые 0.5 секунды Gyrocopter атакует случайного противника в радиусе 700."

        "DOTA_Tooltip_ability_call_down_arena"                                            "Call Down"
        "DOTA_Tooltip_ability_call_down_arena_Description"                                "Вызывает воздушный удар на выбранную область. С неба падает 2 снаряда: первый наносит большой урон, оглушает противников на %slow_duration_first% сек. и запускает во всех героев в области действия Homing Missile текущего уровня, а второй наносит незначительный урон, но оглушает врагов на %slow_duration_second% сек.\n\nУлучшается с Aghanim's Scepter."
        "DOTA_Tooltip_ability_call_down_arena_slow_duration_first"                        "ДЛИТ. ОГЛУШ. ОТ ПЕРВ. СНАРЯДА:"
        "DOTA_Tooltip_ability_call_down_arena_slow_duration_second"                       "ДЛИТ. ОГЛУШ. ОТ ВТОР. СНАРЯДА:"
        "DOTA_Tooltip_ability_call_down_arena_damage_first"                               "УРОН ОТ ПЕРВОГО СНАРЯДА:"
        "DOTA_Tooltip_ability_call_down_arena_damage_second"                              "УРОН ОТ ВТОРОГО СНАРЯДА:"
        "DOTA_Tooltip_ability_call_down_arena_radius"                                     "РАДИУС:"
        "DOTA_Tooltip_ability_call_down_arena_damage_second_scepter"                      "УРОН ОТ ВТОРОГО СНАРЯДА СО СКИПЕТРОМ:"
        "DOTA_Tooltip_ability_call_down_arena_aghanim_description"                        "Урон повышен."

        "DOTA_Tooltip_ability_cherub_sleep_cloud"                                         "Sleep Cloud"
        "DOTA_Tooltip_ability_cherub_sleep_cloud_Description"                             "Создает облако успокаивающих ароматов, которые усыпляют врагов, если они находятся внутри его радиуса в течение некоторого времени. Враги будут просыпаться, когда длительность облака заканчивается, или когда они берут определенное количество повреждений."
        "DOTA_Tooltip_ability_cherub_sleep_cloud_Note0"                                   "Если юнит был разбужен, то таймер сна перезапустится."
        "DOTA_Tooltip_ability_cherub_sleep_cloud_radius"                                  "РАДИУС ОБЛАКА:"
        "DOTA_Tooltip_ability_cherub_sleep_cloud_duration"                                "ДЛИТЕЛЬНОСТЬ ОБЛАКА:"
        "DOTA_Tooltip_ability_cherub_sleep_cloud_time_to_sleep"                           "ВРЕМЯ УСЫПЛЕНИЯ:"
        "DOTA_Tooltip_ability_cherub_sleep_cloud_damage_to_wake"                          "УРОН ДЛЯ ПРОБУЖДЕНИЯ:"

        "DOTA_Tooltip_ability_cherub_synthesis"                                           "Synthesis"
        "DOTA_Tooltip_ability_cherub_synthesis_Description"                               "Когда включен, превращает ману Cherub в в здоровье или здоровье в ману, в зависимости от времени суток. В течение деня, преобразует ее здоровье в ману. Во время ночи, преобразует ее ману в здоровье."
        "DOTA_Tooltip_ability_cherub_synthesis_base_conversion_rate"                      "БАЗЮ СКОРОСТЬ КОНВЕРТАЦИИ:"
        "DOTA_Tooltip_ability_cherub_synthesis_mana_to_hp_pct"                            "%МАНА В ЗДОРОВЬЕ (ДЕНЬ):"
        "DOTA_Tooltip_ability_cherub_synthesis_hp_to_mana_pct"                            "%ЗДОРОВЬЕ В МАНУ (НОЧЬ):"

        "DOTA_Tooltip_ability_cherub_explosive_spore"                                     "Explosive Spore"
        "DOTA_Tooltip_ability_cherub_explosive_spore_Description"                         "Создает плавающую спору со свободным передвижением. Спора будет расти с течением времени и взорвётся через %explode_delay% секунд, нанося магический урон в зоне действия и восстанавливаясь на основе нанесенного урона.\nСпора имеет 0 брони и 0% сопротивления к магии, а при убийстве даёт %spore_bounty_gold% золота и %spore_bounty_exp% опыта."
        "DOTA_Tooltip_ability_cherub_explosive_spore_explode_delay"                       "ЗАДЕРЖКА ПЕРЕД ВЗРЫВОМ:"
        "DOTA_Tooltip_ability_cherub_explosive_spore_explode_radius"                      "РАДИУС ВЗРЫВА:"
        "DOTA_Tooltip_ability_cherub_explosive_spore_lifesteel_heroes_pct"                "%ВОССТАНОВЛЕНИЕ (ОТ ГЕРОЕВ):"
        "DOTA_Tooltip_ability_cherub_explosive_spore_lifesteel_creeps_pct"                "%ВОССТАНОВЛЕНИЕ (ОТ КРИПОВ):"
        "DOTA_Tooltip_ability_cherub_explosive_spore_spore_health"                        "ЗДОРОВЬЕ СПОРЫ:"
        "DOTA_Tooltip_ability_cherub_explosive_spore_spore_movespeed"                     "СКОРОСТЬ СПОРЫ:"
        "DOTA_Tooltip_ability_cherub_explosive_spore_spore_vision_range"                  "ДАЛЬНОСТЬ ВИДИМОСТИ СПОРЫ:"

        "DOTA_Tooltip_ability_cherub_flower_garden"                                       "Flower Garden"
        "DOTA_Tooltip_ability_cherub_flower_garden_Description"                           "Удобряет участок земли, превращая его в грядку, на %life_time_min_tooltip% минут. Cherub может посадить один из шести различных цветов на ее грядках, которые улучшаются по мере улучшения уровня этой способности.\n\nУлучшается с Aghanim's Scepter."
        "DOTA_Tooltip_ability_cherub_flower_garden_aghanim_description"                   "Добавляет шипастый барьер для растений, увеличивая их здоровье и возвращая магический урон, когда его атакуют."
        "DOTA_Tooltip_ability_cherub_flower_garden_channel_time"                          "ДЛИТЕЛЬНОСТЬ ПРИМЕНЕНИЯ:"
        "DOTA_Tooltip_ability_cherub_flower_garden_flower_health"                         "ЗДОРОВЬЕ ЦВЕТКА:"
        "DOTA_Tooltip_ability_cherub_flower_garden_flower_health_scepter"                 "ЗДОРОВЬЕ ЦВЕТКА СО СКИПЕТРОМ:"
        "DOTA_Tooltip_ability_cherub_flower_garden_damage_return_scepter"                 "ВОЗВРАТ УРОНА СО СКИПЕТРОМ:"

        "DOTA_Tooltip_ability_cherub_flower_white_rose"                                   "White Rose"
        "DOTA_Tooltip_ability_cherub_flower_white_rose_Description"                       "Наносит небольшой урон в большом радиусе. Максимум составляет %max_plants% растений."
        "DOTA_Tooltip_ability_cherub_flower_white_rose_attack_range"                      "РАДИУС АТАКИ:"
        "DOTA_Tooltip_ability_cherub_flower_white_rose_damage"                            "УРОН:"
        "DOTA_Tooltip_ability_cherub_flower_white_rose_attack_rate"                       "BAT:"

        "DOTA_Tooltip_ability_cherub_flower_white_rose_enabled"                           "White Rose"
        "DOTA_Tooltip_ability_cherub_flower_white_rose_enabled_Description"               "Наносит небольшой урон в большом радиусе. Максимум составляет %max_plants% растений."
        "DOTA_Tooltip_ability_cherub_flower_white_rose_enabled_attack_range"              "РАДИУС АТАКИ:"
        "DOTA_Tooltip_ability_cherub_flower_white_rose_enabled_damage"                    "УРОН:"
        "DOTA_Tooltip_ability_cherub_flower_white_rose_enabled_attack_rate"               "BAT:"

        "DOTA_Tooltip_ability_cherub_flower_red_rose"                                     "Red Rose"
        "DOTA_Tooltip_ability_cherub_flower_red_rose_Description"                         "Наносит большой урон в небольшом радиусе. Максимум составляет %max_plants% растений."
        "DOTA_Tooltip_ability_cherub_flower_red_rose_attack_range"                        "РАДИУС АТАКИ:"
        "DOTA_Tooltip_ability_cherub_flower_red_rose_damage"                              "УРОН:"
        "DOTA_Tooltip_ability_cherub_flower_red_rose_attack_rate"                         "BAT:"

        "DOTA_Tooltip_ability_cherub_flower_red_rose_enabled"                             "Red Rose"
        "DOTA_Tooltip_ability_cherub_flower_red_rose_enabled_Description"                 "Наносит большой урон в небольшом радиусе. Максимум составляет %max_plants% растений."
        "DOTA_Tooltip_ability_cherub_flower_red_rose_enabled_attack_range"                "РАДИУС АТАКИ:"
        "DOTA_Tooltip_ability_cherub_flower_red_rose_enabled_damage"                      "УРОН:"
        "DOTA_Tooltip_ability_cherub_flower_red_rose_enabled_attack_rate"                 "BAT:"

        "DOTA_Tooltip_ability_cherub_flower_pink_blossom"                                 "Pink Blossom"
        "DOTA_Tooltip_ability_cherub_flower_pink_blossom_Description"                     "Вовосстанавливает здоровье трём союзникам каждую секунду. Максимум составляет %max_plants% растений."
        "DOTA_Tooltip_ability_cherub_flower_pink_blossom_heal_range"                      "РАДИУС ЛЕЧЕНИЯ:"
        "DOTA_Tooltip_ability_cherub_flower_pink_blossom_heal_amount"                     "ЛЕЧЕНИЕ:"
        "DOTA_Tooltip_ability_cherub_flower_pink_blossom_max_targets"                     "МАКС. ЦЕЛЕЙ:"
        "DOTA_Tooltip_ability_cherub_flower_pink_blossom_heal_interval"                   "ИНТЕРВАЛ ЛЕЧЕНИЯ:"

        "DOTA_Tooltip_ability_cherub_flower_pink_blossom_enabled"                         "Pink Blossom"
        "DOTA_Tooltip_ability_cherub_flower_pink_blossom_enabled_Description"             "Восстанавливает здоровье трём союзникам каждую секунду. Максимум составляет %max_plants% растений."
        "DOTA_Tooltip_ability_cherub_flower_pink_blossom_enabled_heal_range"              "РАДИУС ЛЕЧЕНИЯ:"
        "DOTA_Tooltip_ability_cherub_flower_pink_blossom_enabled_heal_amount"             "ЛЕЧЕНИЕ:"
        "DOTA_Tooltip_ability_cherub_flower_pink_blossom_enabled_max_targets"             "МАКС. ЦЕЛЕЙ:"
        "DOTA_Tooltip_ability_cherub_flower_pink_blossom_enabled_heal_interval"           "ИНТЕРВАЛ ЛЕЧЕНИЯ:"

        "DOTA_Tooltip_ability_cherub_flower_blue_blossom"                                 "Blue Blossom"
        "DOTA_Tooltip_ability_cherub_flower_blue_blossom_Description"                     "Восстанавливает ману всем союзникам каждые %restore_interval% секунд. Максимум составляет %max_plants% растений."
        "DOTA_Tooltip_ability_cherub_flower_blue_blossom_restore_range"                   "РАДИУС ВОССТАНОВЛЕНИЯ:"
        "DOTA_Tooltip_ability_cherub_flower_blue_blossom_restore_amount"                  "ВОССТАНОВЛЕНИЕ:"
        "DOTA_Tooltip_ability_cherub_flower_blue_blossom_restore_interval"                "ИНТЕРВАЛ ВОССТАНОВЛЕНИЯ:"

        "DOTA_Tooltip_ability_cherub_flower_blue_blossom_enabled"                         "Blue Blossom"
        "DOTA_Tooltip_ability_cherub_flower_blue_blossom_enabled_Description"             "Восстанавливает ману всем союзникам каждые %restore_interval% секунд. Максимум составляет %max_plants% растений."
        "DOTA_Tooltip_ability_cherub_flower_blue_blossom_enabled_restore_range"           "РАДИУС ВОССТАНОВЛЕНИЯ:"
        "DOTA_Tooltip_ability_cherub_flower_blue_blossom_enabled_restore_amount"          "ВОССТАНОВЛЕНИЕ:"
        "DOTA_Tooltip_ability_cherub_flower_blue_blossom_enabled_restore_interval"        "ИНТЕРВАЛ ВОССТАНОВЛЕНИЯ:"

        "DOTA_Tooltip_ability_cherub_flower_yellow_daisy"                                 "Yellow Daisy"
        "DOTA_Tooltip_ability_cherub_flower_yellow_daisy_Description"                     "Повышает скорость атаки всем союзникам рядом. Максимум составляет %max_plants% растений."
        "DOTA_Tooltip_ability_cherub_flower_yellow_daisy_aura_radius"                     "РАДИУС АУРЫ:"
        "DOTA_Tooltip_ability_cherub_flower_yellow_daisy_bonus_attackspeed"               "ДОП. СКОРОСТЬ АТАКИ:"

        "DOTA_Tooltip_ability_cherub_flower_yellow_daisy_enabled"                         "Yellow Daisy"
        "DOTA_Tooltip_ability_cherub_flower_yellow_daisy_enabled_Description"             "Повышает скорость атаки всем союзникам рядом. Максимум составляет %max_plants% растений."
        "DOTA_Tooltip_ability_cherub_flower_yellow_daisy_enabled_aura_radius"             "РАДИУС АУРЫ:"
        "DOTA_Tooltip_ability_cherub_flower_yellow_daisy_enabled_bonus_attackspeed"       "ДОП. СКОРОСТЬ АТАКИ:"

        "DOTA_Tooltip_ability_cherub_flower_purple_lotus"                                 "Purple Lotus"
        "DOTA_Tooltip_ability_cherub_flower_purple_lotus_Description"                     "Понижает сопротивление магическому урону всем противникам рядом. Максимум составляет %max_plants% растений."
        "DOTA_Tooltip_ability_cherub_flower_purple_lotus_aura_radius"                     "РАДИУС АУРЫ:"
        "DOTA_Tooltip_ability_cherub_flower_purple_lotus_magic_resistance_reduction"      "%ПОНИЖЕНИЕ СОПРОТИВЛЕНИЯ:"

        "DOTA_Tooltip_ability_cherub_flower_purple_lotus_enabled"                         "Purple Lotus"
        "DOTA_Tooltip_ability_cherub_flower_purple_lotus_enabled_Description"             "Понижает сопротивление магическому урону всем противникам рядом. Максимум составляет %max_plants% растений."
        "DOTA_Tooltip_ability_cherub_flower_purple_lotus_enabled_aura_radius"             "РАДИУС АУРЫ:"
        "DOTA_Tooltip_ability_cherub_flower_purple_lotus_enabled_magic_resistance_reduction" "%ПОНИЖЕНИЕ СОПРОТИВЛЕНИЯ:"

        "DOTA_Tooltip_ability_omniknight_purification_lua"                                "Purification"
        "DOTA_Tooltip_ability_omniknight_purification_lua_Description"                    "Мгновенно исцеляет дружественных юнитов и наносит урон вражеским юнитам рядом с целью."
        "DOTA_Tooltip_ability_omniknight_purification_lua_heal"                           "ЛЕЧЕНИЕ/УРОН:"
        "DOTA_Tooltip_ability_omniknight_purification_lua_radius"                         "РАДИУС:"

        "DOTA_Tooltip_ability_omniknight_repel_lua"                                       "Repel"
        "DOTA_Tooltip_ability_omniknight_repel_lua_Description"                           "Создает божественный щит вокруг цели, который дает невосприимчивость к заклинаниям и 100%% сопротивление магическому урону.\n\nУлучшается с Aghanim's Scepter."
        "DOTA_Tooltip_ability_omniknight_repel_lua_duration"                              "ДЛИТЕЛЬНОСТЬ:"
        "DOTA_Tooltip_ability_omniknight_repel_lua_magic_resistance_reduction_scepter"    "СНИЖЕНИЕ СОПРОТИВЛЕНИЯ МАГИИ:"
        "DOTA_Tooltip_ability_omniknight_repel_lua_aghanim_description"                   "Может быть использовано на противников, уменьшая их сопротивление магическому урону."

        "DOTA_Tooltip_ability_omniknight_guardian_angel_lua"                              "Guardian Angel"
        "DOTA_Tooltip_ability_omniknight_guardian_angel_lua_Description"                  "Omniknight призывает ангела-хранителя, который делает цель невосприимчивой к физическому урону.\n\nУлучшается с Aghanim's Scepter."
        "DOTA_Tooltip_ability_omniknight_guardian_angel_lua_duration"                     "ДЛИТЕЛЬНОСТЬ:"
        "DOTA_Tooltip_ability_omniknight_guardian_angel_lua_armor_debuff_scepter"         "СНИЖЕНИЕ БРОНИ:"
        "DOTA_Tooltip_ability_omniknight_guardian_angel_lua_aghanim_description"          "Может быть использовано на противников, уменьшая их броню."

        "DOTA_Tooltip_ability_omniknight_select_allies"                                   "Select: Allies"
        "DOTA_Tooltip_ability_omniknight_select_allies_Description"                       "Сбрасывает время перезарядки способностей и все способности временно будут работать на всех живых союзников.\n\nУлучшается с Aghanim's Scepter."
        "DOTA_Tooltip_ability_omniknight_select_allies_duration"                          "ДЛИТЕЛЬНОСТЬ:"
        "DOTA_Tooltip_ability_omniknight_select_allies_aghanim_description"               "Добавляет способность 'Select: Enemies', которая выбирает всeх противников."

        "DOTA_Tooltip_ability_omniknight_select_enemies"                                  "Select: Enemies"
        "DOTA_Tooltip_ability_omniknight_select_enemies_Description"                      "Сбрасывает время перезарядки способностей и все способности временно будут работать на всех живых противников."
        "DOTA_Tooltip_ability_omniknight_select_enemies_duration"                         "ДЛИТЕЛЬНОСТЬ:"

        "DOTA_Tooltip_ability_omniknight_degen_aura_arena"                                "Degen Aura"
        "DOTA_Tooltip_ability_omniknight_degen_aura_arena_Description"                    "Сильно снижает скорости передвижения и атаки врагов, находящихся слишком близко. Эффект становится сильнее с каждой секундой, начиная с %start_stack_amount% стаков. Также, юнит имеет шанс быть оглушен, когда его атакуют."
        "DOTA_Tooltip_ability_omniknight_degen_aura_arena_speed_bonus_per_stack_pct"      "ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ ЗА СТАК:"
        "DOTA_Tooltip_ability_omniknight_degen_aura_arena_attack_bonus_per_stack"         "ЗАМЕДЛЕНИЕ АТАКИ ЗА СТАК:"
        "DOTA_Tooltip_ability_omniknight_degen_aura_arena_damage_bonus_per_stack"         "СНИЖЕНИЕ УРОНА ЗА СТАК:"
        "DOTA_Tooltip_ability_omniknight_degen_aura_arena_chance_to_bash_pct"             "%ШАНС ОГЛУШИТЬ:"
        "DOTA_Tooltip_ability_omniknight_degen_aura_arena_bash_duration"                  "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
        "DOTA_Tooltip_ability_omniknight_degen_aura_arena_radius"                         "РАДИУС:"

        "DOTA_Tooltip_ability_pudge_meat_hook_lua"                                        "Meat Hook"
        "DOTA_Tooltip_ability_pudge_meat_hook_lua_Description"                            "Бросает окровавленный крюк в указанную цель или в выбранном направлении. Крюк будет цеплять всех существ, в которых попадет, притащит их к Pudge и нанесет урон, если это враг. Цепляет юнитов, даже когда крюк вовзращается к Pudge\nКогда Pudge убивает противника при помощи Meat Hook он получает стак Bloodstained. Каждый стак повышает радиус применения Hook и его скорость.\n\nУлучшается с Aghanim's Scepter."
        "DOTA_Tooltip_ability_pudge_meat_hook_lua_aghanim_description"                    "Уменьшает время перезарядки, увеличивает урон и убирает задержку после применения Meat Hook."
        "DOTA_Tooltip_ability_pudge_meat_hook_lua_Note0"                                  "Прерывает прочтение врагом заклинания."
        "DOTA_Tooltip_ability_pudge_meat_hook_lua_Note1"                                  "Действует на невидимых юнитов."
        "DOTA_Tooltip_ability_pudge_meat_hook_lua_Note2"                                  "Проходит через деревья, возвышенности и строения."
        "DOTA_Tooltip_ability_pudge_meat_hook_lua_Note3"                                  "Может притягивать союзников; урон нанесен не будет."
        "DOTA_Tooltip_ability_pudge_meat_hook_lua_hook_speed"                             "СКОРОСТЬ:"
        "DOTA_Tooltip_ability_pudge_meat_hook_lua_hook_distance"                          "РАДИУС:"
        "DOTA_Tooltip_ability_pudge_meat_hook_lua_damage_scepter"                         "УРОН СО СКИПЕТРОМ:"
        "DOTA_Tooltip_ability_pudge_meat_hook_lua_cooldown_scepter"                       "ПЕРЕЗАРЯДКА СО СКИПЕТРОМ:"
        "DOTA_Tooltip_ability_pudge_meat_hook_lua_hook_distance_per_stack"                "РАДИУС ЗА СТАК:"

        "DOTA_Tooltip_ability_pudge_rot_arena"                                            "Rot"
        "DOTA_Tooltip_ability_pudge_rot_arena_Description"                                "Токсичное облако, которое постоянно наносит урон и замедляет противников, ранит не только вражеских юнитов, но и самого Pudge. Каждый стак способности Flesh Heap увеличивает радиус Rot."
        "DOTA_Tooltip_ability_pudge_rot_arena_Note0"                                      "Не прерывает прочтение других заклинаний."
        "DOTA_Tooltip_ability_pudge_rot_arena_Note1"                                      "Действует на невидимых врагов."
        "DOTA_Tooltip_ability_pudge_rot_arena_Note2"                                      "Если ваш герой обезмолвлен, то выключить способность Rot нельзя."
        "DOTA_Tooltip_ability_pudge_rot_arena_Note3"                                      "С помощью этой способности можно совершить самоубийство."
        "DOTA_Tooltip_ability_pudge_rot_arena_rot_radius"                                 "РАДИУС:"
        "DOTA_Tooltip_ability_pudge_rot_arena_rot_slow"                                   "%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
        "DOTA_Tooltip_ability_pudge_rot_arena_rot_damage"                                 "УРОН:"
        "DOTA_Tooltip_ability_pudge_rot_arena_rot_radius_per_stack"                       "РАДИУС ЗА СТАК:"
        "DOTA_Tooltip_ability_pudge_rot_arena_rot_radius_limit"                           "МАКС. СТАК:"

        "DOTA_Tooltip_ability_pudge_flesh_heap_arena"                                     "Flesh Heap"
